,Habitat,Group,Gene_num,Acidob_sequences,Gemmat_sequences,Proteo_sequences,Actino_seq,Proteo__seq (%),Acidob_seq (%),Gemmat__seq (%),Actino_seq (%),Polymer,Acido_polymer (%),Gemmat_polymer (%),Proteo_polymer (%),Actino_polymer (%),Proteo_ratio (%),Acido_ratio (%),Gemmat_ratio (%),Actino_ratio (%)
M1,Maize,All,537955,49931,36830,260884,64974,48.5,9.28,6.85,12.08,36371.67,10.89,5.74,31.9,11.49,4.45,7.93,5.66,6.43
M2,Maize,All,245963,54811,8839,53152,28953,21.61,22.28,3.59,11.77,16372.16,16.61,4.94,25.59,12.87,7.88,4.96,9.15,7.28
M3,Maize,All,55474,32963,7123,79492,425,143.3,59.42,12.84,0.77,3859.54,9.66,5.26,22.05,0.33,1.07,1.13,2.85,2.96
M4,Maize,All,297650,17267,2962,38727,32688,13.01,5.8,1,10.98,22651.43,18.11,3.43,24.5,13.17,14.33,23.76,26.2,9.13
M5,Maize,All,109518,31633,7447,26249,23536,23.97,28.88,6.8,21.49,7065.15,8.63,3.91,13.6,21.32,3.66,1.93,3.71,6.4
M6,Maize,All,217909,35627,18115,39460,15860,18.11,16.35,8.31,7.28,17617.75,19.09,4.63,18.71,5.6,8.35,9.44,4.5,6.22
M7,Maize,All,144303,8046,2523,36117,7929,25.03,5.58,1.75,5.49,10593.52,19.49,2,16.06,4.4,4.71,25.66,8.4,5.88
M8,Maize,All,350034,26090,1969,31856,30892,9.1,7.45,0.56,8.83,32334.9,20.79,6.39,6.99,8.57,7.09,25.77,104.93,8.97
M9,Maize,All,104849,82815,4034,126250,11889,120.41,78.99,3.85,11.34,6466.58,11.3,2.27,17.47,12.98,0.9,0.88,3.64,7.06
M10,Maize,All,229532,11745,2043,16714,13880,7.28,5.12,0.89,6.05,18634.82,22.08,3.18,10.97,4.95,12.24,35.04,28.98,6.65
M11,Maize,All,218018,9506,4342,43573,8505,19.99,4.36,1.99,3.9,18031.28,11.54,2.63,14.3,5.19,5.92,21.88,10.94,11
M12,Maize,All,111242,35181,15390,97804,12044,87.92,31.63,13.83,10.83,7775.79,20.86,3.82,28.31,8.82,2.25,4.61,1.93,5.69
M13,Maize,All,267765,6046,3395,32111,101793,11.99,2.26,1.27,38.02,19787.74,12.11,2.77,6.35,36.37,3.91,39.63,16.14,7.07
M14,Maize,All,247558,29054,1263,58547,32492,23.65,11.74,0.51,13.13,16971.91,13.38,7.26,9.53,13.1,2.76,7.82,97.55,6.84
M15,Maize,All,119973,70383,4840,88690,25888,73.92,58.67,4.03,21.58,8927.21,6.47,1.5,26.85,18.93,2.7,0.82,2.77,6.53
M16,Maize,All,147177,3777,2143,64262,18041,43.66,2.57,1.46,12.26,10975.88,18.15,1.01,12.02,10.26,2.05,52.74,5.18,6.24
M17,Maize,All,426062,36423,1875,29178,73614,6.85,8.55,0.44,17.28,34201.9,18.19,0.6,17.54,19.41,20.56,17.09,10.99,9.02
M18,Maize,All,178215,92019,18896,98456,75638,55.25,51.63,10.6,42.44,12656.92,6.34,0.94,4.53,42.39,0.58,0.87,0.63,7.09
M19,Maize,All,90193,7539,606,7913,5474,8.77,8.36,0.67,6.07,7725.24,8.88,4.36,32.94,7.98,32.16,9.1,55.61,11.26
M20,Maize,All,112592,33931,10267,123283,17506,109.5,30.14,9.12,15.55,6330.47,5.56,3.65,17.83,16.56,0.92,1.04,2.25,5.99
M21,Maize,All,155720,44015,6225,121401,35522,77.96,28.27,4,22.81,11557.74,20.6,0.59,18.46,22.44,1.76,5.41,1.09,7.3
M22,Maize,All,360360,112393,22341,67891,70465,18.84,31.19,6.2,19.55,25812.39,20.08,0.98,15.91,19.63,6.05,4.61,1.14,7.19
M23,Maize,All,106244,5657,3406,20059,10798,18.88,5.32,3.21,10.16,7063.39,3.64,2,43.61,11.72,15.35,4.54,4.14,7.67
M24,Maize,All,110067,148180,29239,82051,732,74.55,134.63,26.56,0.67,9286.83,31.12,1.59,11.42,0.43,1.29,1.95,0.51,5.5
M25,Maize,All,350339,59018,16474,151883,10722,43.35,16.85,4.7,3.06,31491.04,24.05,4.74,13.35,2.62,2.77,12.83,9.06,7.69
M26,Maize,All,34659,25172,7929,48549,5431,140.08,72.63,22.88,15.67,2744.12,17.93,1.6,12.68,16.35,0.72,1.95,0.55,8.26
M27.1,Maize,All,426017,36177,10932,40209,143243,9.44,8.49,2.57,33.62,30732.61,9.16,1.84,18.31,31.07,14,7.78,5.19,6.67
M28,Maize,All,277636,61132,18878,63836,11549,22.99,22.02,6.8,4.16,22131.3,15.58,2.06,23.18,4.12,8.03,5.64,2.42,7.9
M29,Maize,All,339925,27285,9408,87199,11255,25.65,8.03,2.77,3.31,35262.27,27.52,4.68,8.02,3.28,3.24,35.57,17.55,10.28
M30,Maize,All,455378,31633,9431,119063,17307,26.15,6.95,2.07,3.8,44632.87,27.13,4.24,7.18,4.63,2.69,38.29,20.08,11.95
M31,Maize,All,420620,57034,15132,112539,64131,26.76,13.56,3.6,15.25,29794.69,14.2,3.69,22.87,14.3,6.06,7.42,7.26,6.64
M32,Maize,All,144346,7404,3846,24994,5856,17.32,5.13,2.66,4.06,10651.68,18.29,5.13,16.55,3.57,7.05,26.31,14.2,6.49
M33,Maize,All,210687,42671,11621,74752,19199,35.48,20.25,5.52,9.11,16704.05,17.41,4.71,9.49,9.26,2.12,6.82,6.77,8.05
M34,Maize,All,303079,28946,3597,42873,34096,14.15,9.55,1.19,11.25,21120.63,19.8,5.89,11.85,11.36,5.84,14.44,34.61,7.03
M35,Maize,All,252983,84747,35622,56626,35485,22.38,33.5,14.08,14.03,16204.17,11.02,3.7,23.09,13.12,6.61,2.11,1.68,5.99
M36,Maize,All,282361,10226,2358,30149,29294,10.68,3.62,0.84,10.37,20717.87,12.24,2.71,25.79,8.66,17.73,24.79,23.79,6.13
R1,Rice,All,197577,13946,7324,74918,9791,37.92,7.06,3.71,4.96,16530.63,6.42,2.52,24.32,4.25,5.37,7.62,5.68,7.18
R2,Rice,All,135700,26635,2606,88889,476,65.5,19.63,1.92,0.35,9423.87,13.91,0.32,18.24,0.28,1.93,4.92,1.15,5.51
R3,Rice,All,77410,30109,4605,72503,211,93.66,38.9,5.95,0.27,5414.95,22.33,0.78,16.31,0.26,1.22,4.02,0.91,6.77
R4,Rice,All,135641,23671,213,125401,3132,92.45,17.45,0.16,2.31,9470.44,7.28,1.29,31.09,2.09,2.35,2.91,57.28,6.31
R5,Rice,All,213385,66985,5361,48651,30514,22.8,31.39,2.51,14.3,16307.96,18.01,4.57,9.38,13.6,3.14,4.38,13.92,7.27
R6,Rice,All,209915,15734,10749,35888,1677,17.1,7.5,5.12,0.8,11237.52,1.93,2.21,38.82,0.95,12.15,1.38,2.31,6.4
R7,Rice,All,287169,38693,13589,154048,5179,53.64,13.47,4.73,1.8,20335.47,11.16,3.31,26.95,1.51,3.56,5.86,4.96,5.94
R8,Rice,All,84767,15952,1809,36323,267,42.85,18.82,2.13,0.31,6790.63,16.82,2.96,20.03,0.17,3.74,7.16,11.11,4.3
R9,Rice,All,208120,50284,17745,82423,1285,39.6,24.16,8.53,0.62,13292.14,6.54,2.69,37.67,0.45,6.07,1.73,2.02,4.63
R10,Rice,All,185559,21157,17930,56949,3112,30.69,11.4,9.66,1.68,12476.98,16.32,1.32,26.59,1.55,5.83,9.62,0.92,6.22
R11,Rice,All,181717,9373,4560,36315,1776,19.98,5.16,2.51,0.98,13554.56,17.25,2.32,19.22,0.87,7.17,24.94,6.91,6.61
R12,Rice,All,298090,18142,532,52508,4539,17.61,6.09,0.18,1.52,22012.61,7.43,0.03,21.79,1.82,9.14,9.02,1.32,8.84
R13,Rice,All,313145,8363,821,34717,25651,11.09,2.67,0.26,8.19,24139.81,19.57,1.61,10.24,7.99,7.12,56.49,47.38,7.52
R14,Rice,All,140381,16919,4092,48535,5975,34.57,12.05,2.91,4.26,8804.55,10.62,7.81,14.77,5.38,2.68,5.53,16.81,7.93
R15,Rice,All,308258,6001,3526,105162,34238,34.11,1.95,1.14,11.11,23030.39,13.03,3.47,32.85,12.07,7.19,49.99,22.69,8.12
R16,Rice,All,126045,5399,501,120347,583,95.48,4.28,0.4,0.46,8485.05,13.35,0.71,13.82,0.58,0.97,20.99,11.98,8.41
R17,Rice,All,318507,6410,2514,67771,28693,21.28,2.01,0.79,9.01,25072.94,14.48,5.65,13.27,7.41,4.91,56.65,56.36,6.47
R18,Rice,All,189251,79900,11054,81241,1903,42.93,42.22,5.84,1.01,13809.02,10.97,8.57,15.92,1.08,2.71,1.9,10.71,7.86
R19,Rice,All,80726,32630,3905,183759,4689,227.63,40.42,4.84,5.81,5381.36,11.65,6.04,27.22,5.86,0.8,1.92,8.32,6.72
R20,Rice,All,83157,8155,3806,40935,532,49.23,9.81,4.58,0.64,4803.45,13.24,1.04,24.32,1,2.85,7.8,1.31,9.04
R21,Rice,All,134046,21442,5098,147677,1486,110.17,16,3.8,1.11,7865.6,13.31,3.57,21.56,1.97,1.15,4.88,5.51,10.44
R22,Rice,All,166622,46012,4683,60206,544,36.13,27.61,2.81,0.33,9596.14,5.19,2.86,36.8,0.33,5.86,1.08,5.85,5.85
R23,Rice,All,167592,15546,641,24439,1001,14.58,9.28,0.38,0.6,9270.33,4.11,0.24,46.22,0.93,17.53,2.45,3.43,8.64
R24,Rice,All,124423,1851,80,59197,717,47.58,1.49,0.06,0.58,7403.44,5.4,2.07,35.23,0.47,4.41,21.61,191.25,4.86
R25,Rice,All,312131,14144,1718,18096,12929,5.8,4.53,0.55,4.14,26908.24,23.89,3.22,13.03,3.03,19.38,45.45,50.47,6.31
R26,Rice,All,371229,15204,4094,52073,7151,14.03,4.1,1.1,1.93,26886.67,8.44,0.91,28.11,1.5,14.52,14.93,5.98,5.65
R27,Rice,All,76156,9364,115,63039,844,82.78,12.3,0.15,1.11,5455.49,11.05,3.65,31.31,0.96,2.71,6.44,173.04,6.23
R28,Rice,All,270234,110280,6330,71242,1638,26.36,40.81,2.34,0.61,17376.58,9.39,2.01,32.35,0.75,7.89,1.48,5.51,7.97
R29,Rice,All,214131,8881,8986,70925,33588,33.12,4.15,4.2,15.69,18899.56,20.48,2.06,14.71,14.87,3.92,43.59,4.34,8.36
R30,Rice,All,76587,17985,3671,136970,178,178.84,23.48,4.79,0.23,4030.14,3.4,0.07,54.96,0.25,1.62,0.76,0.08,5.57
R31,Rice,All,67729,9423,1524,67140,3731,99.13,13.91,2.25,5.51,5485.51,21.35,2.08,10.76,4.66,0.88,12.43,7.48,6.85
R32,Rice,All,131264,39144,12581,39975,927,30.45,29.82,9.58,0.71,8556.21,13.43,3.06,20.75,0.6,4.44,2.94,2.08,5.55
R33,Rice,All,137944,3292,3659,120827,3977,87.59,2.39,2.65,2.88,8769.23,7.82,0.07,24.28,3.79,1.76,20.84,0.16,8.35
R34,Rice,All,366640,31586,9933,143304,6223,39.09,8.61,2.71,1.7,26417.02,26.91,1.4,10.77,1.63,1.98,22.5,3.74,6.92
R35,Rice,All,220381,14177,3204,33877,68722,15.37,6.43,1.45,31.18,13531.75,4.61,3.94,21.76,31.76,8.69,4.4,16.64,6.25
R36,Rice,All,336223,11778,4835,133374,36172,39.67,3.5,1.44,10.76,22638.02,5.91,0.99,27.24,9.8,4.62,11.35,4.61,6.13
