,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30,M31,M32,M33,M34,M35,M36,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36
AA0,0.006557807,0.006262202,0.008354219,0.007749583,0.005808839,0.006460004,0.007054493,0.002910661,0.007896954,0.005616197,0.008522824,0.008370232,0.005540925,0.004393995,0.006345983,0.003666473,0.005804673,0.005961015,0.008263609,0.00387651,0.007239339,0.007094283,0.013974287,0.002503442,0.005765033,0.002641799,0.009234828,0.006465268,0.002194414,0.004089745,0.008305521,0.005027178,0.006575198,0.005697784,0.007221651,0.007473186,0.007094815,0.002068908,0.004811799,0.004006116,0.002574246,0.005748702,0.012392544,0.010940919,0.009561709,0.013022268,0.01073702,0.006571001,0.00523125,0,0.009933027,0.00073531,0.003185294,0.00634493,0.008069071,0.004438231,0.007519362,0.008462814,0.014780958,0.005275017,0.003539165,0.007751725,0.010921932,0.00590245,0.005579663,0.009994628,0.004115452,0.005665642,0.004700005,0.00352048,0.010054167,0.00538148
AA1,0.054188195,0.066305669,0.090225564,0.058896831,0.102899441,0.088717388,0.098121581,0.086261414,0.106170153,0.081836015,0.068608734,0.102953855,0.063557665,0.068106921,0.075446687,0.084939962,0.049132409,0.073519185,0.088833798,0.075204292,0.080236002,0.066128852,0.071618222,0.068427421,0.071014724,0.105671941,0.070360598,0.061249906,0.072689968,0.077296188,0.064695635,0.065353316,0.070135449,0.065674453,0.060300782,0.061085172,0.067637237,0.061377617,0.057741582,0.05675331,0.079801611,0.076059751,0.06815899,0.08643326,0.068753244,0.072123331,0.075670425,0.057887392,0.060159379,0.062738537,0.058996162,0.077207585,0.062258026,0.062473156,0.059941672,0.087655061,0.065623526,0.060368076,0.051733352,0.078371678,0.070488375,0.057262741,0.084948364,0.064232543,0.057513445,0.044975825,0.068590869,0.0538236,0.045657195,0.054818909,0.073311633,0.057850906
AA1_1,0.001380591,0.001841824,0.001670844,0.00092995,0.005808839,0.001292001,0.000641318,0.002910661,0.003509757,0.003610412,0.00340913,0.000837023,0.00097781,0,0,0.003055394,0.001451168,0.000993502,0.001032951,0.002325906,0.000603278,0.001266836,0,0.000834481,0.001048188,0.005283597,0.001539138,0.001361109,0.004114526,0.002862822,0.002185663,0.003770384,0.000876693,0.002399067,0.000722165,0.000974763,0.001418963,0.002068908,0.002405899,0.002003058,0.000858082,0.001326624,0.001630598,0.003282276,0.003642556,0.002504282,0.004090293,0.001564524,0.001453125,0,0.002709007,0.001470621,0.001737433,0.000976143,0.002305449,0.003328673,0,0.002820938,0.000568498,0.001507148,0.001769583,0.002750612,0,0.001041609,0.000429205,0,0.004115452,0.002124616,0,0.000754389,0.001256771,0.001076296
AA1_2,0.002761182,0.005893837,0.005012531,0.006819633,0.010787845,0.006029337,0.010902398,0.010584223,0.002632318,0.010028923,0.008522824,0.007533209,0.002281557,0.003661662,0.005640874,0.006721867,0.005804673,0.001490254,0.006197707,0.002325906,0.007842617,0.006334181,0.003493572,0.002503442,0.007337315,0.010567194,0.005716799,0.004763882,0.008503355,0.005112182,0.006338424,0.008169165,0.003068426,0.0053979,0.00433299,0.00292429,0.003310914,0.001379272,0.002405899,0.000667686,0.004290409,0.002653247,0.003587315,0.003282276,0.003642556,0.006010278,0.003579007,0.004380667,0.003778125,0.002614106,0.005117014,0.003676552,0.003474867,0.004392644,0.003458173,0.001109558,0.002734314,0.003385126,0.002842492,0.002260721,0.004718887,0.004501001,0.002427096,0.002430421,0.002146024,0.004997314,0.004115452,0.000708205,0.001342859,0.00352048,0.00460816,0.001076296
AA1_3,0.002416034,0.002946919,0.003341688,0.002479867,0.004979005,0.003014669,0.007054493,0.008467378,0.004387196,0.008023139,0.003835271,0.003348093,0.001303747,0.000732332,0.002820437,0.004277552,0.000414619,0.001987005,0.005164756,0.001550604,0.002413113,0.001266836,0.001746786,0,0.004978892,0.007925396,0.007475814,0.002381941,0.00932626,0.006543593,0.004808459,0.001885192,0.004383466,0.002099183,0.002527578,0.001624606,0.001418963,0.001379272,0.00120295,0.001335372,0.004290409,0.000442208,0.005870152,0.004376368,0.000910639,0.007011991,0.007158013,0.001251619,0.00058125,0.001960579,0.002709007,0.001470621,0.003185294,0.001464215,0.002305449,0.001109558,0.000683578,0.000564188,0.002842492,0.003014295,0.003539165,0.003500779,0.003640644,0.001041609,0.002146024,0,0.004115452,0.001416411,0,0.001508777,0.002513542,0.00134537
AA10,0.001208017,0.00073673,0.006683375,0.00092995,0.002489503,0.001722668,0.001923953,0.00238145,0.002632318,0.000802314,0.001278424,0.007533209,0.00097781,0.001464665,0.004935765,0.003666473,0.003524266,0.000993502,0.001032951,0.002325906,0.001206556,0.001266836,0.003493572,0.000834481,0.001310235,0.002641799,0.001319261,0.004763882,0.001920112,0.001431411,0.001748531,0.000628397,0.001753386,0.001199533,0.003249743,0.000649842,0.000472988,0,0,0.002003058,0.001716164,0.000884416,0.002282837,0.002188184,0.000910639,0.003005139,0.002045147,0.004067763,0.000290625,0,0.003010008,0,0.000868717,0.000488072,0,0.001109558,0.001367157,0.000564188,0.001705495,0,0.001769583,0.001750389,0.001213548,0.001041609,0.003004434,0.001249328,0,0.000708205,0,0.003771943,0.002932465,0.001076296
AA12,0.009836711,0.009577486,0.008354219,0.0074396,0.010787845,0.005168003,0.005771858,0.007673561,0.002632318,0.007621982,0.00340913,0.006696186,0.002933431,0.008055657,0.001410218,0.003055394,0.005390053,0.003477259,0.010329511,0.00387651,0.005429504,0.00278704,0.006113751,0.007510327,0.007337315,0,0.004177661,0.0074861,0.007954751,0.006543593,0.004371327,0.004398781,0.002630079,0.00629755,0.003971908,0.004223975,0.004256889,0.004827453,0.007217698,0.008012232,0.00471945,0.003537663,0.009783587,0.006564551,0.012748946,0.006511134,0.003579007,0.003754858,0.00290625,0.003267632,0.006020017,0.004411862,0.006949733,0.004392644,0.004610898,0.005547789,0.00410147,0.003949313,0.007958977,0.003014295,0.006193539,0.00575128,0.00606774,0.005208044,0.007296482,0.003747985,0.004115452,0.002832821,0.001342859,0.006286572,0.002513542,0.001614444
AA14,0.000172574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000683578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AA15,0.001380591,0.00073673,0,0.002169883,0.000829834,0.003445335,0.001923953,0.000529211,0.001754879,0.001203471,0.002556847,0.001674046,0.002607494,0.001464665,0.002820437,0,0.004146195,0.002980507,0,0.003101208,0.001206556,0.002533673,0.000873393,0.000834481,0.00262047,0.002641799,0.002418646,0.002381941,0.000822905,0.000613462,0.001967097,0.000628397,0.002630079,0.002399067,0.003971908,0.001299685,0.001418963,0.001379272,0.00120295,0.002003058,0.000429041,0.009728573,0.002608957,0.004376368,0.002731917,0.002003426,0.002045147,0.00062581,0.001453125,0,0.001204003,0.001470621,0.001447861,0.002440358,0,0.001109558,0.004785049,0,0.001136997,0.008289312,0.002359444,0.004250946,0.001213548,0.006944059,0.00085841,0.008745299,0,0.002832821,0.002685717,0.002766092,0.003770313,0.001076296
AA2,0.004486921,0.002946919,0,0.001239933,0.001659668,0.003014669,0.000641318,0.002646056,0.003509757,0.002005785,0.002556847,0.005859162,0.002933431,0.001464665,0.000705109,0,0.001865788,0.000993502,0.006197707,0.000775302,0.008445895,0.001520204,0.005240358,0.003337923,0.001310235,0,0.004397537,0.003062495,0.000274302,0.002453847,0.001967097,0.001256795,0.002630079,0.001199533,0.000722165,0.001299685,0.002837926,0.002068908,0.00120295,0.000667686,0.001287123,0.000884416,0.002608957,0.001094092,0.003187236,0.004507708,0.003579007,0.001877429,0.002034375,0.002614106,0.00361201,0.00073531,0.001158289,0.002440358,0.003458173,0,0.001367157,0.001128375,0.002273993,0.000753574,0.001474652,0.003000668,0.003640644,0.000347203,0.003862843,0.002498657,0.001371817,0.001416411,0.000671429,0.001005852,0.002094618,0.000807222
AA3,0.01294304,0.011787675,0.003341688,0.017359066,0.004979005,0.014642676,0.024370066,0.012436462,0.010529271,0.01043008,0.012358095,0.007533209,0.01499309,0.012815818,0.014807294,0.015276971,0.011609346,0.015399289,0.013428365,0.01550604,0.017495068,0.009881323,0.013100894,0.017524096,0.016508958,0.007925396,0.013852243,0.012249981,0.014537994,0.011451287,0.012458281,0.02073711,0.01402709,0.014694284,0.017331961,0.016246056,0.013243655,0.009654906,0.012029496,0.010682976,0.013300269,0.014592859,0.019241055,0.016411379,0.016846821,0.018030833,0.013293453,0.003754858,0.010462501,0.012417002,0.015351042,0.010294345,0.019111766,0.015130217,0.014985418,0.01442425,0.010253676,0.014104691,0.013643961,0.02562151,0.016221174,0.007251613,0.018203221,0.021179379,0.008584096,0.014991942,0.013718174,0.015580516,0.01007144,0.010058515,0.011729861,0.015337217
AA3_1,0.00224346,0.002210189,0.001670844,0.0018599,0.000829834,0.000861334,0.001923953,0.003175267,0.002632318,0.001203471,0.001278424,0.001674046,0.00195562,0.004027829,0.002820437,0.003055394,0.001658478,0.004967512,0.001032951,0.000775302,0.002413113,0.002026938,0,0.003337923,0.002358423,0,0.001978892,0.002381941,0.002194414,0.001431411,0.003497061,0.001885192,0.00131504,0.003298717,0.002527578,0.002599369,0.003310914,0,0.002405899,0,0.001287123,0.001768831,0.001630598,0.001094092,0.002276597,0.000500856,0.001022573,0.000312905,0.0034875,0.001960579,0.003010008,0.00073531,0.001158289,0.000976143,0.001152724,0.001109558,0,0.000564188,0.000568498,0.000753574,0.002654374,0.001750389,0.001213548,0.002777623,0.00085841,0.001249328,0.001371817,0.002124616,0.001342859,0.001257314,0.002932465,0.00269074
AA3_2,0.021226586,0.020260066,0.016708438,0.026658566,0.013277347,0.025840016,0.021163478,0.017993178,0.031587814,0.016447434,0.023863908,0.013392371,0.034223358,0.018308312,0.024678823,0.027498549,0.030059913,0.038746597,0.008263609,0.020933153,0.015685234,0.031417539,0.022708217,0.020862019,0.014150535,0.029059784,0.03583993,0.025180517,0.022218443,0.011451287,0.028195057,0.019480315,0.016657169,0.026089851,0.024192529,0.022094637,0.023176396,0.012413451,0.015638345,0.015356778,0.024026292,0.016361691,0.028372402,0.024070022,0.021400016,0.022538541,0.020962753,0.009700049,0.021215626,0.018952266,0.022876063,0.004411862,0.021428344,0.017082504,0.029970836,0.026629386,0.022558087,0.011283753,0.022739935,0.022607215,0.019465409,0.018254062,0.015776125,0.023957002,0.024035469,0.032482541,0.017833626,0.019121542,0.018800021,0.019362642,0.026811112,0.022602214
AA3_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000366166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000204487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000500856,0,0,0,0,0,0,0.000289572,0,0,0,0,0,0,0,0,0,0,0.000347203,0.000429205,0,0,0,0,0,0,0
AA3_4,0.000172574,0,0.001670844,0.000619967,0,0.000430667,0,0.001587633,0,0.001203471,0.000426141,0.000837023,0.002281557,0.001464665,0.000705109,0.000611079,0,0.000496751,0.001032951,0.000775302,0.001206556,0.001773571,0,0,0.002096376,0,0.000659631,0.000340277,0.000822905,0.001022436,0.000874265,0.002513589,0.000438347,0.0017993,0.00144433,0.000649842,0.001418963,0,0,0,0,0,0,0,0.000910639,0.001001713,0.000511287,0,0.000290625,0,0.000301001,0.001470621,0.000289572,0,0,0.003328673,0,0,0,0,0.001179722,0.000500111,0.001213548,0.000694406,0.00085841,0,0,0,0,0,0.000418924,0
AA4,0.0191557,0.015839688,0.020050125,0.018908983,0.024065192,0.024117348,0.018598208,0.015082517,0.013161589,0.018854376,0.018324072,0.020088557,0.01303747,0.011351153,0.015512403,0.019554524,0.01575554,0.01589604,0.024790827,0.017056644,0.018701625,0.019255911,0.021834824,0.013351692,0.023584226,0.015850791,0.023087071,0.019736081,0.024138555,0.01574552,0.023168032,0.018223521,0.019287248,0.022791134,0.022387117,0.023719242,0.015135606,0.014482359,0.016841295,0.02336901,0.020593964,0.025205848,0.028698522,0.020787746,0.029595767,0.018531689,0.01840632,0.024719481,0.016856251,0.014377581,0.023779065,0.019853379,0.021138772,0.02245129,0.017290867,0.016643366,0.025975979,0.025388443,0.032404407,0.027128658,0.022119783,0.024505452,0.016989673,0.025345814,0.018455807,0.034981198,0.028808165,0.028328211,0.024171456,0.020368494,0.017594792,0.026907398
AA5,0.010527006,0.011050945,0.025062657,0.0111594,0.016596684,0.021964013,0.013467668,0.014553306,0.017548786,0.014040493,0.011931954,0.021762603,0.007822482,0.012815818,0.013397075,0.012221577,0.009950868,0.012915532,0.013428365,0.013180134,0.014478677,0.008107752,0.012227501,0.013351692,0.013888489,0.010567194,0.009234828,0.01122915,0.008229053,0.009610902,0.008086954,0.005027178,0.011835357,0.00989615,0.006138403,0.009747634,0.009459753,0.007585998,0.013232446,0.008679918,0.020593964,0.007075326,0.014349261,0.014223195,0.011838307,0.013523125,0.009714446,0.011577478,0.013078126,0.014377581,0.009030025,0.008823724,0.010714172,0.011225645,0.018443591,0.008876462,0.012304411,0.007898627,0.00682198,0.011303607,0.012387079,0.007501669,0.010921932,0.007985667,0.013305349,0.01624127,0.015089991,0.009914874,0.01007144,0.012321681,0.005027083,0.009417589
AA5_1,0,0,0,0,0,0,0,0.000264606,0,0,0,0,0,0.000366166,0.000705109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000299883,0,0,0,0,0,0,0,0,0,0,0.000455319,0,0,0,0,0,0,0,0.000289572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AA5_2,0.002416034,0.002946919,0.005012531,0.00464975,0.004149171,0.003445335,0.003847905,0.005292111,0.003509757,0.004011569,0.006818259,0.001674046,0.001629684,0.002563164,0.005640874,0.000611079,0.002902336,0.000993502,0.002065902,0.004651812,0.003619669,0.001013469,0.001746786,0.005006884,0.008123456,0.002641799,0.005277045,0.002381941,0.005211734,0.003271796,0.001748531,0.003141986,0.003945119,0.0017993,0.000722165,0.001299685,0.004256889,0,0.002405899,0.001335372,0.002145205,0.001768831,0.006196272,0.003282276,0.002731917,0.004006852,0.002556433,0.002503239,0.004359375,0.000653526,0.001806005,0.004411862,0.001737433,0.001464215,0.001152724,0.001109558,0.002734314,0.001128375,0.002273993,0.002260721,0.004129026,0.002250501,0.001213548,0.002430421,0.003862843,0.002498657,0.004115452,0.002124616,0,0.003771943,0.001256771,0.001614444
AA6,0.003451477,0.009209121,0.003341688,0.004959733,0.002489503,0.004737336,0.003847905,0.005027506,0.003509757,0.002005785,0.006392118,0.004185116,0.00195562,0.003295496,0.003525546,0.006110789,0.004768124,0.000496751,0.005164756,0.004651812,0.001206556,0.006080814,0.010480715,0,0.002096376,0.007925396,0.002418646,0.005784713,0.001645811,0.00224936,0.004589893,0.001256795,0.003945119,0.004798134,0.003610825,0.003899054,0.005202864,0.002758545,0.00120295,0.008012232,0.002574246,0.014150651,0.010761946,0.009846827,0.014570224,0.007512847,0.005112867,0.007822621,0.00174375,0.002614106,0.004515012,0.003676552,0.002316578,0.002928429,0.005763622,0.004438231,0.006152206,0.017489816,0.018760446,0.009042886,0.001474652,0.008751947,0,0.007291262,0.003004434,0.01624127,0,0.002124616,0.008728581,0.003017555,0.003351389,0.005919628
AA7,0.02139916,0.017313147,0.010025063,0.017979033,0.043981213,0.024978682,0.025011383,0.023814501,0.050014039,0.033697183,0.017897931,0.016740464,0.034549295,0.020871476,0.01833284,0.036664732,0.019694425,0.042720607,0.016527218,0.031012079,0.02352785,0.020776115,0.00873393,0.020862019,0.025680601,0.039626978,0.040237467,0.013951368,0.021395538,0.019835265,0.022512333,0.016338329,0.027177487,0.025190201,0.023831447,0.020470031,0.015608593,0.023447629,0.021653093,0.021365952,0.041187929,0.017688314,0.023806728,0.024070022,0.030051087,0.020034259,0.020962753,0.013767812,0.020343751,0.016991687,0.021371059,0.017647448,0.028667649,0.01903479,0.017290867,0.026629386,0.017773038,0.019182379,0.017623449,0.021853641,0.032147418,0.01950434,0.016989673,0.028470641,0.030044337,0.013742613,0.013718174,0.016288721,0.014771445,0.020117031,0.024716493,0.021525919
AA9,0.001898313,0.00073673,0,0.00092995,0.002489503,0.000861334,0,0.000264606,0,0.001604628,0.000426141,0.00251107,0.00097781,0.000732332,0.001410218,0.000611079,0.002073097,0.001490254,0,0.000775302,0.000603278,0.000253367,0,0,0.000262047,0.002641799,0,0.000680555,0.000274302,0.000817949,0.001748531,0.001256795,0.000876693,0.0017993,0.000722165,0.001949527,0,0,0,0.002003058,0,0.000442208,0,0.001094092,0.000910639,0.001001713,0.001022573,0.001564524,0.000290625,0.001307053,0.000602002,0.00073531,0.001737433,0.000976143,0.001152724,0,0.000683578,0.000564188,0.000568498,0,0.001179722,0.000250056,0.001213548,0.001388812,0,0,0.001371817,0.002832821,0,0.002263166,0.000837847,0.001883518
CBM0,0.003451477,0.003315283,0.005012531,0.0037198,0.006638674,0.010766673,0.00513054,0.008996589,0.007019514,0.007621982,0.011079671,0.006696186,0.002607494,0.004027829,0.004935765,0.007332946,0.002487717,0.002980507,0.00929656,0.003101208,0.012668842,0.004053876,0.006987144,0.007510327,0.01205416,0.007925396,0.012972735,0.009187486,0.017555313,0.01574552,0.004589893,0.007540767,0.009643624,0.005997667,0.003610825,0.004548896,0.00614884,0.005517089,0.006014748,0.00333843,0.004290409,0.001326624,0.006522391,0.004376368,0.004553195,0.005008565,0.007158013,0.005632287,0.004359375,0.004574685,0.00361201,0.004411862,0.0052123,0.004880715,0.001152724,0.004438231,0.002734314,0.002820938,0.002273993,0.004521443,0.008552983,0.00400089,0.004854192,0.004513638,0.009871711,0,0.009602722,0.007790258,0.008057152,0.004023406,0.004189236,0.003767036
CBM1,0.000517722,0.000368365,0,0.0018599,0,0,0.000641318,0,0,0.000802314,0.000426141,0,0.001303747,0,0.000705109,0.000611079,0.001451168,0,0,0,0.000603278,0.001773571,0.000873393,0,0.000786141,0,0.000439754,0.000340277,0.000274302,0,0.000874265,0,0,0,0.000722165,0.000974763,0,0,0,0.00333843,0.000429041,0.000442208,0.000978359,0.001094092,0,0.001001713,0.000511287,0.001251619,0.00058125,0,0.001806005,0,0,0,0,0.001109558,0,0.000564188,0,0,0,0.001250278,0,0,0,0,0,0,0.002014288,0.000754389,0.000837847,0.001076296
CBM10,0.004832068,0.005525472,0.008354219,0.006819633,0.004979005,0.002584002,0.00769581,0.005556717,0.007019514,0.00521504,0.008096683,0.005859162,0.004237178,0.002563164,0.006345983,0.007332946,0.009121629,0.001987005,0.018593121,0.006977718,0.004222947,0.004307243,0.010480715,0.005006884,0.007861409,0,0.008135444,0.007145822,0.012617881,0.006543593,0.007212689,0.006283973,0.007013545,0.003298717,0.00433299,0.001949527,0.001891951,0.005517089,0.007217698,0.004673802,0.005577532,0.007075326,0.00750075,0.006564551,0.003642556,0.006010278,0.0076693,0.003441953,0.00290625,0.004574685,0.008729024,0.002205931,0.003185294,0.004392644,0.003458173,0.007766904,0.003417892,0.002820938,0.00341099,0.009042886,0.007078331,0.005001113,0.002427096,0.007638465,0.006008867,0.001249328,0.009602722,0.007790258,0.002014288,0.00176024,0.003770313,0.003497962
