"","Level_1","Level_2","Level_3","Level_4","Level_5","Level_6","Level_7","Observation.Ids","M1","M2","M3","M4","M5","M6","M7","M8","M9","M10","M11","M12","M13","M14","M15","M16","M17","M18","M19","M20","M21","M22","M23","M24","M25","M26","M27","M28","M29","M30","M31","M32","M33","M34","M35","M36","R1","R2","R3","R4","R5","R6","R7","R8","R9","R10","R11","R12","R13","R14","R15","R16","R17","R18","R19","R20","R21","R22","R23","R24","R25","R26","R27","R28","R29","R30","R31","R32","R33","R34","R35","R36"
"1","k__(null)","p__(null)","c__(null)","o__(null)","f__(null)","g__(null)","s__(null)","ID1",0.00148711323437834,0.00121969564527998,0,0.000335965059633798,0,0.000458907158492765,0,0.00171411919984916,0.000953752539366136,0.000435669100604709,0.000458677723857663,0,0.000373461804193976,0.00161578296803173,0,0.000679453990773015,0.000938830498847586,0,0.00332620048119034,0.00088816256927668,0,0.00138750138750139,0,0,0.00142718909399182,0,0.00023473241678149,0.000720367675661658,0.00205927778186365,0.00263517341637058,0.000237744282250012,0.000692779848419769,0.00142391319825143,0.00164973488760356,0.000395283477545922,0.00106246967534468,0.00151839535978378,0.00147383935151069,0,0,0.000468636502097148,0.000476383298001572,0.000348227002218206,0.00117970436608586,0.00144147607149721,0,0,0.000670938307222651,0.00191604528253684,0.000712347112500979,0.000648807168021592,0.00238010234440081,0.00125585936886787,0.00158519637941147,0.00247751653742289,0.00120254458434046,0.000746012562851558,0.000600160843105952,0.000596687192706096,0.000803709925013864,0.000640756605399656,0.000538751013525344,0.00131309417511424,0.000740099321328922,0.000934007686883263,0,0.00147647241211298,0.00076182350073135,0.001449863712811,0.00245472397992581,0.000907519250752107,0.0011896866068056
"2","k__(null)","p__(null)","c__(null)","o__(null)","f__(null)","g__(null)","s__(null)","ID131567",0,0.000406565215093327,0,0,0,0.0013767214754783,0.000692986285801404,0.000571373066616386,0,0,0,0,0,0.000403945742007934,0,0,0,0,0.00110873349373011,0.00088816256927668,0.000642178268687388,0,0,0,0,0,0,0,0,0,0,0.000692779848419769,0,0.000329946977520712,0.000790566955091844,0,0,0,0,0,0.000468636502097148,0,0.000348227002218206,0,0,0.000538912151930114,0,0,0,0,0,0,0,0,0,0.00120254458434046,0,0,0.000596687192706096,0,0.000320378302699828,0,0,0,0,0,0,0,0,0.000545494217761292,0.000453759625376053,0
"3","k__Bacteria","p__(Bacteria)","c__(Bacteria)","o__(Bacteria)","f__(Bacteria)","g__(Bacteria)","s__(Bacteria)","ID2",0.00613434209181065,0.00569191301130658,0.00180264628474601,0.00839912649084495,0.000913091911831845,0.00963705032834807,0.00415791771480842,0.0179982515984162,0.00286125761809841,0.0139414112193507,0.00963223220101093,0.00449470523723054,0.00522846525871566,0.0100986435501983,0.00166704175106066,0.00339726995386507,0.00774535161549258,0.00168335998653312,0.0110873349373011,0.00355265027710672,0.00256871307474955,0.0155400155400155,0.000941229622378676,0.00635976268999791,0.0154136422151117,0.00577050693903459,0.0122060856726375,0.0129666181619098,0.015003309553578,0.0195442028380818,0.00974751557225049,0.00554223878735815,0.0142391319825143,0.0112181972357042,0.00751038607337252,0.0141662623379291,0.00860424037210809,0.00368459837877671,0.00645911380958533,0.00516068150485473,0.0149963680671087,0.00190553319200629,0.010098583064328,0.00235940873217172,0.00432442821449164,0.00485020936737102,0.00660367494510695,0.0140897044516757,0.00989956729310703,0.00284938845000392,0.00616366809620513,0.00555357213693522,0.0116166991620278,0.0147951662078404,0.00123875826871144,0.00601272292170232,0.00223803768855468,0.000600160843105952,0,0.00321483970005546,0.0166596717403911,0.00835064070964284,0.00262618835022848,0.0066608938919603,0.0107410883991575,0.00130570462350007,0.00295294482422596,0.00380911750365675,0.00507452299483849,0.013091861226271,0.00408383662838448,0.0110046011129518
"4","k__Bacteria","p__Acidobacteria","c__(Acidobacteria)","o__(Acidobacteria)","f__(Acidobacteria)","g__(Acidobacteria)","s__(Acidobacteria)","ID57723",0,0,0,0,0,0,0,0,0,0,0.000458677723857663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000395283477545922,0,0,0,0,0,0,0,0,0,0,0,0,0.000335469153611325,0.000319340880422807,0,0.000324403584010796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000453759625376053,0
"5","k__Bacteria","p__Acidobacteria","c__(Acidobacteria)","o__(Acidobacteria)","f__(Acidobacteria)","g__(Acidobacteria)","s__(Acidobacteria)","ID458031",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","k__Bacteria","p__Acidobacteria","c__(Acidobacteria)","o__(Acidobacteria)","f__(Acidobacteria)","g__(Acidobacteria)","s__(Acidobacteria)","ID1660250",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","k__Bacteria","p__Acidobacteria","c__(Acidobacteria bacterium Mor1)","o__(Acidobacteria bacterium Mor1)","f__(Acidobacteria bacterium Mor1)","g__(Acidobacteria bacterium Mor1)","s__Acidobacteria bacterium Mor1","ID1660251",0.00223066985156751,0.00121969564527998,0.00360529256949201,0.00436754577523938,0.00547855147099107,0.00871923601136254,0.00762284914381544,0.00771353639932121,0.0114450304723936,0.00740637471028005,0.00550413268629196,0.00719152837956887,0.00186730902096988,0.00807891484015867,0.00500112525318197,0.00407672394463809,0.00258178387183086,0.00056111999551104,0.00554366746865056,0.0088816256927668,0.00577960441818649,0.00222000222000222,0.000941229622378676,0.0127195253799958,0.00970488583914437,0.00865576040855189,0.00798090217057066,0.00432220605396995,0.0108847539898507,0.00856431360320437,0.00380390851600019,0.00762057833261746,0.00806884145675813,0.00494920466281069,0.00276698434282145,0.00672897461051632,0.00506131786594593,0.00810611643330877,0.0129182276191707,0.00516068150485473,0.00656091102936008,0.00524021627801729,0.010098583064328,0.00943763492868687,0.0187391889294638,0.00700585797509148,0.00880489992680927,0.0100640746083398,0.00479011320634211,0.0113975538000157,0.00162201792005398,0.00714030703320243,0.00847705073985815,0.00951117827646882,0.00743254961226866,0.00841781209038325,0.00596810050281247,0.00900241264658929,0.00716024631247315,0.00562596947509705,0.0115336188971938,0.0110443957772696,0.0065654708755712,0.00925124151661153,0.00513704227785795,0.00391711387050022,0.00147647241211298,0.00685641150658216,0.00507452299483849,0.00572768928649356,0.0068063943806408,0.00565101138232661
"8","k__Bacteria","p__Acidobacteria","c__Acidobacteriia","o__(Acidobacteriia)","f__(Acidobacteriia)","g__(Acidobacteriia)","s__(Acidobacteriia)","ID204432",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","k__Bacteria","p__Acidobacteria","c__Acidobacteriia","o__Acidobacteriales","f__(Acidobacteriales)","g__(Acidobacteriales)","s__(Acidobacteriales)","ID204433",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","k__Bacteria","p__Acidobacteria","c__Acidobacteriia","o__Acidobacteriales","f__Acidobacteriaceae","g__(Acidobacteriaceae)","s__(Acidobacteriaceae)","ID204434",0,0,0,0,0,0,0,0,0,0,0.000458677723857663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000360183837830829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000480492023832404,0,0,0.000335469153611325,0,0,0,0,0,0.000528398793137156,0,0,0,0,0,0,0,0.000538751013525344,0,0.000370049660664461,0,0,0,0,0,0,0,0
