Name,Sample,Habitat,Lat,Lon,MAT,DOC,SOC,MBC,TN,AN,NO3,NH4,TP,AP,TK,AK,pH,MBN,Clay,Silt,Sand,Cellulose,Chitin,Hemicellulose,Pectin,Xylan,Polymer,Genome size,,CAZyme ratio
1,M1,Maize,48.14,126.99,0.7,164.42,43.64269142,602.74,3.79,259.98,59.55,3.72,0.69,39.96,14.66,183,5.07,9.73,3.85,85.64,10.51,1.2502977,1.671378,1.691397,0.05280761,2.095219,6.76109931,4.866977237,M1,9.874504291
2,M2,Maize,45.07,127.06,3.3,42.6,14.74477958,164.78,1.37,103.18,86.61,18.8,0.52,70.59,17.66,121.9,4.85,12.3,4.21,81.64,14.15,1.2380742,1.607912,1.921391,0.04641397,1.842561,6.65635217,3.847175646,M2,10.15029286
3,M3,Maize,43.13,126.24,3.8,127.71,53.31206497,500.28,3.56,189.98,4.08,3.63,1.86,62.28,15.81,266.4,7.45,36.79,3.79,59.44,36.77,1.3483709,1.700919,1.647452,0.0417711,2.218881,6.957394,2.947648289,M3,9.720969109
4,M4,Maize,42.89,129.39,5,81.78,26.48491879,283.66,1.9,140.98,6.48,3.35,0.74,34.65,18.01,238.5,5.66,9.34,4.76,71.17,24.07,1.5275978,1.797283,1.911667,0.04990731,2.323635,7.61009011,4.086782114,M4,10.37204198
5,M5,Maize,45.6,123.18,5.2,71.13,8.248259861,123.37,0.62,63.98,21.73,10.78,0.32,15.21,19.8,167,8.3,5.09,3.67,36.42,59.9,1.2497303,1.614857,1.624815,0.05310939,1.908619,6.45113069,3.533947771,M5,9.612799352
6,M6,Maize,41.1,121.28,9.4,38.85,15.67865429,267.12,1.15,80.78,8.27,3.19,0.48,22.9,16.84,243.2,7.66,13.16,3.55,57.74,38.71,1.6804624,1.940155,1.832918,0.06460004,2.566775,8.08491044,3.870110143,M6,10.52679181
7,M7,Maize,39.55,115.9,12.3,41.19,17.65661253,492.38,1.62,128.38,14.77,3.04,0.81,17.96,15.66,128.2,7.76,33.95,3.92,76.95,19.13,1.5179986,1.774526,1.683458,0.05066408,2.314515,7.34116168,3.907607287,M7,9.767907218
8,M8,Maize,38.31,106.22,8.9,36.78,8.897911833,176.72,0.82,56.98,20.4,1.81,0.39,14.69,18.28,419.9,8.37,13.51,3.85,77.1,19.05,1.9607272,2.123989,2.0798,0.066416,3.006713,9.2376452,4.428332118,M8,10.9099521
9,M9,Maize,37.55,118.77,12.5,33.85,6.745939675,466.38,0.69,84.98,21.63,3.63,0.67,13.96,15.31,130.2,8.05,16.41,0.91,67.94,31.14,1.2924681,1.611856,1.444265,0.06229819,1.756633,6.16752029,2.813376603,M9,9.215744771
10,M10,Maize,36.71,117.09,14.7,28.78,13.76450116,166.32,1.33,125.58,24.7,1.79,0.89,39.65,15.63,299,7.85,16.23,3.27,81.01,15.72,1.7807356,1.845322,1.870194,0.04773768,2.574625,8.11861428,4.13012958,M10,9.89654165
11,M11,Maize,34.87,114.33,14.9,35.25,25.06960557,411.17,2.7,181.58,29.25,3.1,0.83,24.53,16.23,338.5,8.1,45.35,3.85,74.09,22.07,1.6862408,1.839652,1.962806,0.06562575,2.716224,8.27054855,4.146870597,M11,9.874970157
12,M12,Maize,35.56,110.53,13.4,47.76,26.87354988,78.98,1.4,126.98,9.39,4.41,0.98,28,14.91,266.4,8.25,7.84,2.95,84.79,12.25,1.4112211,1.653121,1.779511,0.04519925,2.100928,6.98998035,2.788522654,M12,9.728720754
13,M13,Maize,27.47,109.95,16.7,52.23,22.01276102,316.67,2.21,159.18,17.37,5.48,0.97,26.65,13.61,294.3,4.64,18.32,8.83,76.5,14.67,1.427277,1.762666,1.890759,0.05573518,2.253527,7.38996418,5.370090557,M13,9.226291358
14,M14,Maize,29.04,111.63,17.2,43.11,8.033642691,93.85,0.89,77.98,3.43,4.32,0.48,23.34,13.92,77.3,5.87,3.54,5.37,71.37,23.26,1.3621384,1.731234,1.763823,0.05162944,1.946906,6.85573084,3.958759661,M14,9.421091158
15,M15,Maize,32.49,114.35,15.5,55.87,9.431554524,165.06,1.03,101.78,14.87,2.78,0.4,29.34,12.88,92.5,6.21,6.52,3.65,86.14,10.22,1.5780344,1.731043,1.667583,0.06980581,2.394551,7.44101721,4.090255716,M15,9.119882658
16,M16,Maize,30.48,114.32,17.1,83.34,12.5812065,450.81,1.44,96.18,9.88,3.06,1.18,38.53,19.51,169,7.15,14.72,4.7,87.71,7.6,1.5906383,1.776406,1.734242,0.05010847,2.306212,7.45760677,4.514795031,M16,9.333007441
17,M17,Maize,32.3,112.24,15.9,97.96,13.42227378,120.06,1.26,128.38,11.39,1.34,0.5,32.46,12.39,213,5.2,10.77,4.1,90.51,5.38,1.5544084,1.780998,2.06211,0.05493708,2.574994,8.02744748,5.300285377,M17,10.05120551
